soil_quality,seed_variety,fertilizer_amount_kg_per_hectare,sunny_days,rainfall_mm,irrigation_schedule,yield_kg_per_hectare,soil_ph,farm_size_hectares,pest_management_score,harvest_delay_days
96.415657,1,147.853040,94.593926,444.267569,3,683.759119,7.302264,145.582679,46.355023,12.148221
92.352626,0,281.565396,90.504644,517.585491,7,678.714861,6.144155,47.959861,53.368645,10.394162
63.714785,1,137.864940,97.329340,420.310945,8,934.691975,7.562108,99.894249,96.667584,11.789859
90.084256,1,100.946659,113.404828,547.817646,7,905.842541,5.778450,55.242466,79.730031,0.618846
81.600341,1,223.088908,83.048176,434.726333,6,897.584665,7.644782,41.889953,99.953011,6.956707
65.394343,1,104.484889,95.922140,462.036153,4,634.978213,7.371951,245.509447,53.457023,13.324203
71.035412,1,78.523089,80.591350,536.457354,3,593.545375,7.240388,22.954866,96.513688,1.389793
69.335886,1,135.922769,119.827004,384.350380,2,750.353033,7.093142,10.069534,77.871980,12.340284
86.424758,1,165.704149,98.069899,553.276585,5,803.008654,6.704470,158.309523,87.361502,0.019915
60.884139,0,88.220811,91.645943,624.455301,8,461.788596,7.550512,26.600383,69.062458,5.227736
85.714992,1,153.960267,108.141932,492.674689,5,819.238621,6.287665,128.504248,68.641304,9.146987
75.324841,1,184.990103,108.851502,206.461916,5,932.336580,6.847003,150.182570,43.460878,12.478869
58.439944,1,277.205741,116.247615,371.185241,7,1106.099283,7.344145,218.746266,79.288587,2.914154
70.368838,0,279.959186,102.978939,412.554476,7,785.984798,5.754076,37.079150,43.032806,10.301559
87.662498,1,282.713834,97.231788,522.101013,6,1049.244861,6.673614,171.889978,55.965202,5.678176
77.141881,0,286.160301,89.062957,650.777159,5,436.270160,5.692197,21.873734,48.150726,6.784892
71.571695,0,91.826628,101.392289,494.696500,5,372.094074,5.786745,96.927704,67.390344,9.597609
80.458203,0,233.576873,86.079635,553.925883,6,520.696528,7.756605,133.586416,43.872549,6.235742
