site_id,region,county_code,monitor_type,has_monitoring,station_count,traffic_index,population_density,industrial_index,pm25,ozone,co2_ppm,asthma_rate,median_income,green_space_pct,development_pressure,latitude,longitude
S0001,Central,621,Regulatory,True,2,66.7,1114.2,53.4,36.52,24.4,418.2,5.99,30735.0,32.5,Medium,43.97293,-100.35927
S0002,Central,865,Regulatory,True,4,55.8,1025.0,47.9,,26.9,407.1,6.22,59000.0,26.0,Low,30.8561,-73.34146
S0003,Central,513,Mobile,True,3,68.5,1167.5,77.9,21.85,31.9,472.4,5.53,49517.0,15.5,Severe,39.32429,-99.35173
S0004,South,182,Regulatory,True,3,81.5,1435.1,70.2,27.61,33.2,433.8,5.26,43353.0,27.1,Low,48.15269,-120.16771
S0005,Central,686,Regulatory,True,3,57.5,1235.5,58.9,28.05,33.0,399.9,6.35,54444.0,41.5,High,33.25561,-70.06827
S0006,Central,681,Regulatory,False,4,57.4,1194.7,46.3,16.31,38.3,405.7,3.16,60029.0,26.5,Severe,44.07858,-71.56922
S0007,South,248,Community,True,5,74.7,1189.3,64.6,25.86,33.6,440.4,6.73,25449.0,23.0,Severe,37.54529,-85.14512
S0008,West,620,Regulatory,True,4,65.2,1273.7,71.3,42.61,25.1,470.7,4.94,50832.0,24.5,High,27.85582,-97.59618
S0009,South,882,Regulatory,True,1,46.0,924.5,39.5,43.57,39.0,372.1,5.74,38040.0,41.5,Low,43.40492,-119.16058
S0010,East,297,Mobile,True,5,77.0,1248.4,57.1,27.85,27.6,440.1,5.36,51503.0,18.7,High,30.62424,-79.03198
S0011,South,776,Regulatory,False,1,47.0,943.8,50.6,36.95,32.2,446.7,5.74,50361.0,34.5,Medium,40.57668,-120.16002
S0012,West,928,Regulatory,False,1,50.3,1089.1,51.2,14.71,36.4,406.6,5.44,53551.0,26.9,Severe,28.84178,-120.55544
S0013,East,030,Regulatory,True,4,58.6,920.0,56.0,38.19,35.6,401.4,5.17,45486.0,26.5,High,47.35765,-93.60043
S0014,East,302,Community,True,3,42.4,653.3,39.0,19.69,38.5,384.2,5.17,36094.0,26.1,High,33.27206,-115.29263
S0015,North,476,Mobile,True,5,37.5,797.7,43.3,29.37,34.7,398.1,5.06,46611.0,29.8,Low,31.86899,-124.05551
S0016,Central,873,Mobile,True,2,60.7,1125.9,55.3,27.86,26.9,427.9,5.6,51499.0,23.1,Medium,29.77643,-100.17098
S0016,NORTH ,948,Community,True,3,43.8,854.7,37.0,41.08,46.7,377.7,6.01,57995.0,29.3,High,47.33905,-116.61001
S0018,East,352,Community,True,2,65.4,1218.9,55.9,22.77,35.5,443.9,5.2,38312.0,14.0,Severe,42.30593,-115.27036
S0019,West,985,Mobile,True,4,44.1,840.5,55.5,36.05,32.7,403.1,5.42,58173.0,18.5,Low,42.94571,-120.07764
S0020,East,482,Regulatory,True,5,55.9,847.4,48.0,26.0,39.7,380.4,4.94,44732.0,32.4,Severe,37.7372,-112.70711
S0021,West,317,Mobile,True,4,70.5,1394.0,58.7,30.21,36.7,442.2,5.71,49536.0,35.8,Low,37.20665,-83.35966
S0022,Central,737,Community,True,2,59.1,1205.0,55.6,28.4,37.1,385.9,6.08,43691.0,48.3,High,29.36546,-77.98668
S0023,North,397,Regulatory,True,1,64.6,1135.5,39.8,20.84,49.9,388.7,4.62,49644.0,37.6,High,39.03658,-98.47932
S0024,North,089,Mobile,True,4,45.4,811.7,41.1,26.52,-5.0,440.8,4.72,57265.0,28.7,Low,32.3087,-95.37316
S0025,Central,234,Regulatory,True,5,52.4,758.7,64.7,30.68,33.6,436.3,5.96,40632.0,15.2,Low,48.00862,-122.62234
S0026,Central,168,Regulatory,True,4,60.6,1151.6,48.5,31.73,33.1,390.5,5.56,42651.0,33.5,High,44.12649,-120.51431
S0027,South,743,Community,True,3,46.5,904.8,36.8,26.84,37.8,385.4,5.92,51051.0,23.9,Medium,35.87933,-109.68986
S0028,East,126,Mobile,False,4,63.6,1137.8,64.9,42.92,24.2,436.0,5.51,67386.0,22.2,Low,30.25384,-93.22584
S0029,East,573,Community,False,2,58.6,1189.3,36.7,37.3,13.4,388.4,4.62,40959.0,38.0,High,43.88463,-81.97581
S0030,East,120,Mobile,False,4,69.8,1215.6,47.0,20.57,27.1,414.6,4.66,64027.0,32.4,High,29.62416,-89.71232
S0031,West,428,Mobile,True,5,49.4,957.6,53.8,39.44,20.4,401.2,5.44,65290.0,23.7,Medium,31.07068,-101.95265
S0032,South,190,Regulatory,True,4,74.0,1209.8,68.4,22.59,33.7,468.5,5.07,46963.0,16.1,Low,31.54769,-117.69637
