"county_id","region_type","policy_type","inspection_count","grants_million","compliance_score","public_support_pct","emissions_baseline_index","policy_adopted"
"C0001","Suburban","Transit_Upgrade",0,0.3,68.6,60.3,61,0
"C0002","Suburban","Building_Retrofit",2,1.85,72.9,82.9,78.8,1
"C0003","Suburban","EV_Charging",5,7.6,53.1,41.6,20,1
"C0004","Suburban","Building_Retrofit",6,3.36,92.2,77.5,88.9,1
"C0005","Suburban","Transit_Upgrade",3,7.2,70.6,66.9,59.4,1
"C0006","Suburban","EV_Charging",0,5.91,72.9,30.5,66.6,1
"C0007","Urban","EV_Charging",5,6.33,59.4,45.5,42.7,1
"C0008","Suburban","Transit_Upgrade",1,3.35,54.6,68.5,67.7,1
"C0009","Urban","Building_Retrofit",8,7.14,100,62.2,69.5,1
"C0010","Urban","Building_Retrofit",4,2.4,82.7,69.6,56.7,1
"C0011","Urban","Building_Retrofit",4,1.16,65.6,92.2,78,1
"C0012","Suburban","Building_Retrofit",1,3.77,52.1,50.8,36.4,1
"C0013","Rural","EV_Charging",4,0.65,68.6,58.3,51.2,1
"C0014","Suburban","EV_Charging",7,4.26,80,90.1,52.9,1
"C0015","Rural","Transit_Upgrade",5,5.98,86.6,67,63.9,1
"C0016","Suburban","Transit_Upgrade",1,6.12,61.1,40.3,39.3,1
"C0017","Suburban","Transit_Upgrade",1,7.82,43.4,54.9,50.7,0
"C0018","Suburban","EV_Charging",3,7.42,77,88.1,64.3,1
"C0019","Urban","EV_Charging",6,3.77,82.8,33.6,61.8,1
"C0020","Urban","EV_Charging",3,3.29,79.9,22.7,43.3,1
"C0021","Rural","Building_Retrofit",8,6.49,69.3,37.1,44.1,1
"C0022","Urban","Building_Retrofit",2,3.54,79.8,42.9,62.8,1
"C0023","Rural","Building_Retrofit",7,2.34,52.3,49.3,41.9,1
"C0024","Suburban","Transit_Upgrade",4,7.55,62.3,54.1,68.5,1
"C0025","Suburban","Transit_Upgrade",0,7.99,73.9,48.4,71.7,1
"C0026","Suburban","EV_Charging",1,5.77,86.3,71.5,45.2,1
"C0027","Suburban","Transit_Upgrade",6,3.13,58.1,48.7,60.2,1
"C0028","Suburban","Transit_Upgrade",5,5.82,62.7,88.6,82,1
"C0029","Suburban","EV_Charging",1,2.97,67.3,57,71.1,1
"C0030","Rural","Building_Retrofit",9,3.88,69.3,63.8,81.2,1
"C0031","Urban","EV_Charging",2,3.94,37.7,81,75,0
"C0032","Urban","Transit_Upgrade",3,3.87,61.5,60.7,74.3,1
"C0033","Urban","EV_Charging",3,7.84,71,57,86,1
"C0034","Suburban","Building_Retrofit",6,3.93,57.8,42.1,79.1,1
"C0035","Rural","Transit_Upgrade",4,4.08,63.6,49.6,61.2,1
"C0036","Rural","Transit_Upgrade",4,0.34,81,74,67.6,1
"C0037","Urban","EV_Charging",8,2.1,60,15.5,54.6,1
"C0038","Rural","Transit_Upgrade",4,5.32,39,10.8,47.1,0
"C0039","Suburban","Transit_Upgrade",6,2.42,72.5,44.3,56.2,1
"C0040","Suburban","Building_Retrofit",2,0.6,38.1,48.9,40.4,0
"C0041","Rural","Transit_Upgrade",2,2.04,73.7,72.6,28.6,1
"C0042","Urban","Building_Retrofit",4,6.85,87.7,41.5,58.7,1
"C0043","Urban","Building_Retrofit",10,4.79,71,61.7,20,1
"C0044","Suburban","EV_Charging",5,7.69,74.2,31.4,56.9,1
"C0045","Urban","Building_Retrofit",4,2.81,90,35.2,51.6,1
"C0046","Rural","Transit_Upgrade",2,5.77,64.8,48.7,53.9,1
"C0047","Suburban","EV_Charging",4,2.71,61.8,47.3,62.3,1
"C0048","Suburban","Transit_Upgrade",5,5.28,69.4,64.8,40.7,1
"C0049","Suburban","Building_Retrofit",5,3.01,62.2,79.8,64.1,1
"C0050","Urban","EV_Charging",4,4.27,100,62.7,69.2,1
