lat,lon,time range,flag,vessel ids,apparent fishing hours
-14.4,-77.1,2023-03,PER,2,3.55
-12.1,-77.2,2023-03,PER,3,132.59
-14.4,-77.4,2023-02,PER,3,2.11
-12.9,-77.9,2023-02,PER,1,2.81
-12.3,-77.3,2023-01,PER,14,29.65
-6.9,-81,2023-01,PER,1,4.96
-16.2,-77.7,2023-02,ECU,1,1.8
-9.2,-78.8,2023-01,PER,23,46.11
-3.4,-81.2,2023-03,ECU,1,4.13
-14.9,-76.3,2023-03,PER,1,1.2
-11.9,-77.7,2023-01,PER,1,0.25
-13.4,-80.2,2023-03,ECU,1,1.66
-15,-76.2,2023-03,PER,1,2.53
-7.9,-79.5,2023-02,GBR,1,0.21
-10.3,-81.6,2023-03,ECU,1,0.06
-13.1,-76.8,2023-01,NA,1,2.44
-14.3,-76.6,2023-01,PER,1,0.41
-10.8,-77.8,2023-01,NA,1,0.72
-16.8,-77.6,2023-03,ECU,1,2.91
-7.3,-80.3,2023-01,PER,4,4.02
-13.6,-76.5,2023-01,PER,10,9.5
-9.1,-78.6,2023-01,HND,1,0.25
-15.9,-78.1,2023-02,ECU,1,0.22
-12.4,-77.4,2023-03,PER,1,1.15
-14.1,-77.2,2023-02,PER,1,5.12
-12.6,-77.7,2023-02,PER,1,0.19
-14.9,-77.6,2023-02,PER,7,18.28
-17.5,-77.6,2023-03,NA,1,1.45
-6.2,-81.2,2023-01,PER,3,4.86
-18,-71,2023-02,PER,3,5.42
-9.7,-78.5,2023-01,NA,3,7.82
-12.8,-77,2023-01,NA,1,0.12
-12.3,-76.9,2023-01,PER,2,56.94
-10.8,-81.4,2023-03,ECU,1,0.12
-12,-80.8,2023-02,ECU,1,0.26
-8.5,-79.1,2023-01,HND,1,2.67
-12.5,-76.9,2023-01,NA,5,21.38
-8.7,-79.5,2023-01,PER,1,1.25
-14.5,-77.7,2023-02,NA,1,1.99
-5.8,-81.3,2023-01,PER,3,9.38
-17.8,-71.3,2023-01,NA,1,12.8
-17.6,-77.7,2023-03,ECU,1,0.35
-7.4,-79.7,2023-01,PER,68,262.84
-9.7,-78.7,2023-02,PER,1,1.9
-14.3,-77.7,2023-02,PER,11,51.49
-15.3,-78.2,2023-02,ECU,1,4.98
-17.9,-71.3,2023-01,PER,1,8.77
-12.7,-76.8,2023-01,HND,1,0.17
-11.8,-77.4,2023-01,PER,26,27.84
-16.5,-78.3,2023-03,ECU,2,1.74
-6.4,-81.1,2023-01,PER,2,1.75
-17.4,-77.7,2023-03,NA,1,1.08
-8.2,-83.4,2023-03,ECU,1,0.4
-14.6,-76.9,2023-01,PER,1,15.62
-16.7,-77.1,2023-03,PER,3,12.72
-15.4,-77,2023-03,PER,6,6.62
-13.9,-77.5,2023-03,PER,1,0.33
-7.5,-79.7,2023-01,GBR,1,4.43
-7.7,-79.5,2023-01,PER,13,5.93
-11.9,-77.3,2023-03,PER,3,19.62
-13.5,-76.3,2023-01,PER,34,71.12
-15.3,-77.9,2023-02,PER,1,0.29
