lat,lon,time range,flag,geartype,vessel ids,apparent fishing hours
-8.4,-81.9,2023-03,NA,purse_seines,1,0.04
-8.8,-80.2,2023-02,PER,other_purse_seines,1,1.57
-13.5,-76.3,2023-03,PER,other_purse_seines,1,1.87
-11.9,-80.6,2023-02,PER,tuna_purse_seines,1,0.33
-12.9,-78,2023-02,PER,fishing,1,4.18
-14.3,-77.7,2023-02,PER,other_purse_seines,7,27.51
-12.4,-78.7,2023-02,PER,pole_and_line,1,1.06
-5.1,-82.7,2023-03,ECU,tuna_purse_seines,1,0.19
-14.6,-77,2023-03,PER,other_purse_seines,13,50.25
-10.7,-80,2023-03,ECU,tuna_purse_seines,1,0.28
-11.8,-77.4,2023-01,SSD,tuna_purse_seines,1,1.7
-17.7,-71.5,2023-02,PER,other_purse_seines,9,16.83
-17,-78,2023-03,PER,tuna_purse_seines,1,5
-17.7,-77,2023-02,NA,purse_seines,1,4.75
-7.6,-79.8,2023-02,NA,other_purse_seines,1,0.33
-15.3,-77.6,2023-02,PER,tuna_purse_seines,1,1.33
-13.5,-76.2,2023-02,NA,other_purse_seines,2,0.42
-12.6,-77.8,2023-02,PER,set_longlines,1,0.66
-14.7,-77.5,2023-02,NA,pole_and_line,1,9.78
-10.2,-78.5,2023-02,PER,other_purse_seines,1,1.93
-16.3,-77.8,2023-03,PER,tuna_purse_seines,3,8.6
-9.1,-78.7,2023-02,PER,tuna_purse_seines,1,0.35
-14.9,-77.2,2023-02,PER,pole_and_line,1,7.36
-12,-77.3,2023-03,PER,fishing,1,2.55
-9.9,-82.1,2023-02,PER,tuna_purse_seines,1,0.12
-17.6,-71.4,2023-01,PER,other_purse_seines,1,0.29
-12.1,-77.6,2023-03,PER,other_purse_seines,2,3.31
-14.7,-76,2023-01,NA,other_purse_seines,1,0.33
-11.1,-77.7,2023-01,NA,other_purse_seines,1,3.23
-14.7,-77.5,2023-02,GBR,other_purse_seines,1,0.82
-8.2,-79.1,2023-01,NA,other_purse_seines,3,8.94
-16.3,-78.4,2023-03,PER,tuna_purse_seines,1,2.63
-8.2,-79.2,2023-02,GBR,other_purse_seines,1,1.51
-6.1,-81.4,2023-01,PER,tuna_purse_seines,2,5.48
-6.5,-80.7,2023-01,NA,other_purse_seines,1,5.38
-5.4,-82.1,2023-02,PER,other_purse_seines,1,1.57
-8.9,-78.8,2023-01,PER,purse_seines,3,4.87
-5.9,-81.3,2023-01,PER,other_purse_seines,4,16.59
-7.7,-79.9,2023-01,PER,other_purse_seines,2,2.38
-14.2,-77,2023-02,NA,pole_and_line,1,0.8
-11.9,-77.2,2023-03,PER,other_purse_seines,1,0.77
-12.5,-77.1,2023-01,PER,inconclusive,1,0.65
-16.9,-76.7,2023-03,NA,purse_seines,1,2.48
-14.4,-77.7,2023-02,PER,pole_and_line,1,0.97
-17.3,-71.9,2023-01,NA,other_purse_seines,2,5.74
-10.2,-78.3,2023-01,PER,other_purse_seines,30,70.99
-13.2,-77.7,2023-02,PER,other_purse_seines,1,1.03
-3.5,-81.7,2023-02,PER,other_purse_seines,1,1.33
-16.8,-78.4,2023-03,PER,tuna_purse_seines,1,4.34
-9.2,-78.7,2023-03,PER,other_purse_seines,1,1.79
-11.1,-77.8,2023-01,HND,other_purse_seines,1,4.8
-14.4,-77,2023-01,PER,set_gillnets,1,3.16
-7.3,-79.9,2023-01,PER,other_purse_seines,33,66.31
-10.8,-78.2,2023-02,PER,tuna_purse_seines,1,2.34
-5.9,-81.5,2023-02,PER,other_purse_seines,1,0.48
-15.5,-76.8,2023-03,NA,pole_and_line,1,8.42
-12.8,-76.7,2023-01,PER,inconclusive,1,0.45
-14,-77.2,2023-01,PER,fishing,1,1.21
-12.6,-76.9,2023-02,NA,other_purse_seines,1,4.75
-14.7,-77,2023-03,PER,other_purse_seines,11,35.21
-9.1,-78.6,2023-03,PER,fishing,1,0.49
-14.2,-76.6,2023-03,PER,pole_and_line,1,1.38
-14.8,-76.1,2023-03,PER,other_purse_seines,1,0.25
-12.9,-76.6,2023-03,PER,other_purse_seines,1,3.62
-6.9,-80.2,2023-01,PER,purse_seines,3,3.6
-11.9,-77.2,2023-03,PER,pole_and_line,1,2.67
-15.4,-77,2023-03,PER,other_purse_seines,6,6.62
-9,-82.4,2023-03,PAN,tuna_purse_seines,1,3.32
-15.8,-78.7,2023-02,ECU,tuna_purse_seines,1,1.56
-12.8,-77.6,2023-02,PER,set_longlines,1,1.93
-8.1,-79.2,2023-01,NA,other_purse_seines,2,2.07
-12,-77.8,2023-03,PER,other_purse_seines,1,1.5
-15.8,-74.7,2023-03,PER,other_purse_seines,1,1.75
-12.4,-77.1,2023-01,PER,pole_and_line,2,5.42
-7.6,-79.6,2023-02,PER,other_purse_seines,1,3.94
-10.9,-77.8,2023-01,PER,purse_seines,1,1.01
-16.4,-75.4,2023-03,PER,set_longlines,1,5.17
-7.4,-79.8,2023-01,PER,other_purse_seines,55,165.73
-13.9,-78.2,2023-02,ECU,tuna_purse_seines,1,0.13
-12,-78.4,2023-03,PER,other_purse_seines,1,0.1
-9.1,-78.7,2023-01,NA,other_purse_seines,1,3
-13,-76.7,2023-02,NA,other_purse_seines,1,0.18
-8.2,-79.4,2023-01,PER,other_purse_seines,32,39.26
-14.6,-77.5,2023-03,PER,other_purse_seines,5,4.85
-9.3,-78.8,2023-01,PER,other_purse_seines,3,1.96
-4.5,-82.3,2023-02,PER,other_purse_seines,1,0.13
-10.7,-78.1,2023-02,PER,purse_seines,1,2.04
-13.5,-77.7,2023-01,PER,pole_and_line,1,0.31
-14.6,-77,2023-03,AIA,purse_seines,1,0.31
-14.5,-76.2,2023-01,PER,other_purse_seines,6,9.65
-15.3,-77.1,2023-02,PER,tuna_purse_seines,1,7.97
-14.1,-77.6,2023-01,PER,set_gillnets,1,3.02
-11.5,-78.3,2023-02,PER,purse_seines,1,2.67
-7.1,-79.8,2023-01,PER,pole_and_line,1,3.22
-9.3,-82.5,2023-02,PER,tuna_purse_seines,1,8.9
-12.3,-78.7,2023-02,PER,pole_and_line,1,5.96
-9.7,-78.4,2023-01,PER,other_purse_seines,10,17.38
-10.3,-78.2,2023-03,PER,other_purse_seines,1,1.5
-15.7,-78.1,2023-02,PER,tuna_purse_seines,1,0.32
-7.4,-80,2023-01,AIA,purse_seines,1,1.92
-13.1,-77.7,2023-02,PER,other_purse_seines,1,0.98
-7,-80.1,2023-01,PER,tuna_purse_seines,5,15.8
-14.9,-77.7,2023-02,HND,other_purse_seines,1,3.85
-15.5,-77.4,2023-02,PER,tuna_purse_seines,1,1.48
-7.5,-79.7,2023-02,PER,purse_seines,1,2.41
-6.8,-80.2,2023-02,PER,other_purse_seines,3,7.92
-6.8,-80.9,2023-01,PER,tuna_purse_seines,1,1.72
-7.8,-79.8,2023-01,HND,other_purse_seines,1,3.59
-15.4,-77.5,2023-02,GBR,other_purse_seines,1,4
-12,-77.2,2023-01,PER,fishing,2,5.01
-15.6,-76,2023-03,PER,other_purse_seines,1,6.88
-14.1,-77,2023-03,AIA,purse_seines,1,1.08
-15.3,-78.2,2023-02,ECU,tuna_purse_seines,1,4.98
-8.3,-79.3,2023-01,PER,other_purse_seines,25,27.71
-15.3,-76.7,2023-02,PER,other_purse_seines,9,14.69
-7.5,-80.2,2023-01,PER,other_purse_seines,1,0.01
-10.8,-77.9,2023-01,PER,purse_seines,3,9.03
-9.1,-78.7,2023-03,PER,other_purse_seines,1,0.63
-13,-77.8,2023-02,PER,set_gillnets,1,2.64
-8,-79.3,2023-01,PER,fishing,2,1.66
-7.3,-79.7,2023-03,PER,other_purse_seines,1,0.56
-9.2,-78.9,2023-01,PER,other_purse_seines,3,2.13
-12.9,-77.9,2023-02,PER,fishing,1,2.81
-16.2,-78.3,2023-02,ECU,tuna_purse_seines,1,1.22
-11.9,-77.4,2023-01,PER,other_purse_seines,28,73.06
-14.1,-77,2023-03,PER,other_purse_seines,1,2.13
-16.2,-77.9,2023-02,ECU,tuna_purse_seines,1,2.61
-9.8,-78.3,2023-01,PER,other_purse_seines,7,6.21
-14.8,-77.7,2023-02,PER,other_purse_seines,8,14.54
-14.3,-77.2,2023-02,PER,pole_and_line,1,4.76
-6.6,-80.4,2023-01,PER,tuna_purse_seines,1,1.44
-16.1,-74.9,2023-03,PER,other_purse_seines,1,3.07
-6.6,-80.8,2023-01,PER,purse_seines,5,16.45
-17.4,-71.5,2023-02,PER,other_purse_seines,2,1.78
-14.5,-78.9,2023-03,ECU,tuna_purse_seines,1,0.42
-9.2,-81.6,2023-03,ECU,tuna_purse_seines,1,0.06
-14.8,-77.1,2023-03,AIA,purse_seines,1,1.77
-10.3,-78.4,2023-01,PER,other_purse_seines,1,0.52
-14.4,-77.2,2023-02,NA,pole_and_line,1,0.58
-6.6,-80.4,2023-01,PER,purse_seines,3,4.96
-4.7,-81.5,2023-02,PER,other_purse_seines,1,1.75
-8.1,-79.4,2023-01,PER,other_purse_seines,61,209.77
-17.9,-71.3,2023-01,PER,other_purse_seines,1,8.77
-14.3,-77.5,2023-01,PER,set_gillnets,1,0.89
-6.1,-81.3,2023-01,PER,purse_seines,1,0.39
-6.9,-80.8,2023-01,PER,tuna_purse_seines,1,0.11
-14.2,-77.2,2023-01,PER,set_gillnets,1,0.16
-15.2,-76,2023-03,PER,other_purse_seines,1,3.99
-16.5,-76.7,2023-03,PER,fishing,1,9.96
-12.6,-76.8,2023-02,NA,other_purse_seines,1,1.56
-12.2,-79.5,2023-02,PER,tuna_purse_seines,1,3.23
-6.7,-80.7,2023-01,PER,purse_seines,4,9.15
-14.5,-76.9,2023-03,PER,other_purse_seines,5,19.26
-10.7,-77.9,2023-01,PER,other_purse_seines,15,39.15
-9.4,-78.6,2023-02,PER,other_purse_seines,5,4.49
-16.1,-77.8,2023-02,ECU,tuna_purse_seines,1,5
-9.1,-79.1,2023-02,PER,other_purse_seines,1,5.22
-15.3,-77.1,2023-03,PER,other_purse_seines,9,20.71
-7.6,-79.8,2023-01,HND,other_purse_seines,1,0.74
-6.6,-80.9,2023-01,PER,tuna_purse_seines,7,14.33
