lat,lon,time range,mmsi,entry timestamp,exit timestamp,apparent fishing hours
-6.2,-81.099998,2023-01,760006613,2023-01-02T01:00:00Z,2023-02-02T17:00:00Z,4.55
-15.9,-78.800003,2023-02,735057785,2023-02-05T01:00:00Z,2023-03-28T20:00:00Z,0.33
-7.4,-79.800003,2023-01,760006125,2023-01-01T02:00:00Z,2023-03-31T23:00:00Z,1.42
-15.3,-76.699997,2023-02,760018813,2023-01-01T08:00:00Z,2023-03-31T19:00:00Z,1.49
-13.7,-76.599998,2023-01,760000022,2023-01-01T07:00:00Z,2023-03-31T12:00:00Z,1.39
-14.6,-79.300003,2023-03,735057785,2023-02-05T01:00:00Z,2023-03-28T20:00:00Z,6.63
-11.9,-77.199997,2023-03,760000987,2023-01-01T00:00:00Z,2023-03-30T20:00:00Z,0.77
-8,-79.5,2023-01,760009905,2023-01-01T06:00:00Z,2023-02-04T23:00:00Z,2.71
-8,-79.5,2023-02,760003460,2023-01-01T08:00:00Z,2023-02-09T14:00:00Z,1.85
-15.6,-77.300003,2023-02,760000210,2023-01-01T02:00:00Z,2023-03-16T12:00:00Z,0.96
-13.3,-78.199997,2023-02,760034538,2023-01-02T16:00:00Z,2023-03-28T22:00:00Z,0.79
-6.7,-80.300003,2023-01,760000670,2023-01-01T11:00:00Z,2023-02-16T00:00:00Z,0.6
-16.7,-77.099998,2023-03,760001270,2023-01-21T14:00:00Z,2023-03-31T23:00:00Z,7.41
-13,-77,2023-02,760003560,2023-01-01T00:00:00Z,2023-03-27T14:00:00Z,2.08
-13.9,-78.099998,2023-02,760003580,2023-01-02T00:00:00Z,2023-03-31T21:00:00Z,1.63
-14.3,-77.800003,2023-02,760000400,2023-01-01T13:00:00Z,2023-03-24T21:00:00Z,1.29
-7.8,-79.900002,2023-02,760002950,2023-01-01T11:00:00Z,2023-02-07T17:00:00Z,2.04
-12,-77.099998,2023-03,760000850,2023-01-01T14:00:00Z,2023-03-31T23:00:00Z,7.45
-13.7,-76.599998,2023-01,760999991,2023-01-01T07:00:00Z,2023-03-16T11:00:00Z,0.3
-11.8,-77.5,2023-01,760010398,2023-01-01T00:00:00Z,2023-02-18T08:00:00Z,0.4
-12.5,-77.099998,2023-01,760001210,2023-01-01T07:00:00Z,2023-02-04T21:00:00Z,0.14
-16.8,-72.800003,2023-02,760019080,2023-01-01T08:00:00Z,2023-02-23T19:00:00Z,1.7
-12.9,-76.599998,2023-01,760000780,2023-01-01T02:00:00Z,2023-03-31T23:00:00Z,1.74
-8.3,-79.099998,2023-02,11346,2023-01-01T11:00:00Z,2023-02-04T21:00:00Z,0.38
-9.4,-78.599998,2023-01,760000881,2023-01-01T13:00:00Z,2023-03-01T16:00:00Z,1.25
-7.8,-79.699997,2023-02,760003490,2023-01-01T09:00:00Z,2023-03-31T03:00:00Z,1.23
-15.2,-77.400002,2023-02,760003510,2023-01-01T07:00:00Z,2023-03-29T20:00:00Z,3.93
-8.3,-79.099998,2023-02,14334,2023-01-01T09:00:00Z,2023-02-04T22:00:00Z,2.79
-14,-77.300003,2023-02,760003510,2023-01-01T07:00:00Z,2023-03-29T20:00:00Z,0.48
-5.7,-81.5,2023-02,760028711,2023-01-01T09:00:00Z,2023-03-27T04:00:00Z,1.39
