lat,lon,time_range,flag,geartype,vessel_ids,apparent_fishing_hours,effort_index,fuel_consumption,catch_value_usd,crew_size
-8.4,-81.9,2023-03,,purse_seines,1,0.04,8.18,10.08,5.76,6.9
-8.8,-80.2,2023-02,PER,other_purse_seines,1,1.57,7.0,17.08,9.01,8.2
-13.5,-76.3,2023-03,PER,other_purse_seines,1,1.87,4.03,4.7,10.61,7.4
-11.9,-80.6,2023-02,PER,tuna_purse_seines,1,0.33,0.0,0.0,3.51,
-12.9,-78.0,2023-02,PER,fishing,1,4.18,1.49,9.63,68.36,10.0
-14.3,-77.7,2023-02,PER,other_purse_seines,7,27.3905,34.2,33.58,97.53,10.1
-12.4,-78.7,2023-02,PER,pole_and_line,1,1.06,2.12,3.16,25.46,7.1
-5.1,-82.7,2023-03,ECU,tuna_purse_seines,1,0.19,0.93,5.99,7.48,7.7
-14.6,-77.0,2023-03,PER,other_purse_seines,13,27.3905,33.3,34.86,193.3,9.3
-10.7,-80.0,2023-03,ECU,tuna_purse_seines,1,0.28,4.11,3.34,8.68,7.6
-11.8,-77.4,2023-01,SSD,tuna_purse_seines,1,1.7,0.0,4.6,7.52,7.2
-17.7,-71.5,2023-02,PER,other_purse_seines,9,16.83,25.99,24.82,82.27,
-17.0,-78.0,2023-03,PER,tuna_purse_seines,1,5.0,1.89,5.46,37.2,7.0
-17.7,-77.0,2023-02,,purse_seines,1,4.75,16.21,15.42,31.12,8.0
-7.6,-79.8,2023-02,,other_purse_seines,1,0.33,6.58,9.41,5.66,7.0
-15.3,-77.6,2023-02,PER,tuna_purse_seines,1,1.33,3.69,8.76,12.58,7.6
-13.5,-76.2,2023-02,,other_purse_seines,2,0.42,9.5,18.52,4.78,6.9
-12.6,-77.8,2023-02,PER,set_longlines,1,0.66,4.8,0.8,18.07,8.6
-14.7,-77.5,2023-02,,pole_and_line,1,9.78,17.35,12.34,32.75,7.5
-10.2,-78.5,2023-02,PER,other_purse_seines,1,1.93,6.53,6.64,23.5,8.4
-16.3,-77.8,2023-03,PER,tuna_purse_seines,3,8.6,17.58,19.8,28.56,8.1
-9.1,-78.7,2023-02,PER,tuna_purse_seines,1,0.35,8.37,12.42,5.54,
-14.9,-77.2,2023-02,PER,pole_and_line,1,7.36,8.69,10.26,93.75,7.7
-12.0,-77.3,2023-03,PER,fishing,1,2.55,4.51,6.83,25.07,7.2
-9.9,-82.1,2023-02,PER,tuna_purse_seines,1,0.12,5.42,8.15,6.08,6.8
-17.6,-71.4,2023-01,PER,other_purse_seines,1,0.29,3.53,8.45,5.06,6.6
-12.1,-77.6,2023-03,PER,other_purse_seines,2,3.31,0.0,0.0,29.37,7.1
-14.7,-76.0,2023-01,,other_purse_seines,1,0.33,11.97,18.56,3.6,7.3
-11.1,-77.7,2023-01,,other_purse_seines,1,3.23,0.0,13.08,20.89,7.8
-14.7,-77.5,2023-02,GBR,other_purse_seines,1,0.82,0.0,6.94,10.21,8.8
-8.2,-79.1,2023-01,,other_purse_seines,3,8.94,9.04,14.37,112.37,8.1
-16.3,-78.4,2023-03,PER,tuna_purse_seines,1,2.63,9.01,13.61,10.99,7.3
-8.2,-79.2,2023-02,GBR,other_purse_seines,1,1.51,12.4,12.73,14.99,
-6.1,-81.4,2023-01,PER,tuna_purse_seines,2,5.48,9.14,14.25,28.15,7.2
-6.5,-80.7,2023-01,,other_purse_seines,1,5.38,8.45,3.02,33.01,9.6
-5.4,-82.1,2023-02,PER,other_purse_seines,1,1.57,6.38,15.94,20.99,9.0
-8.9,-78.8,2023-01,PER,purse_seines,3,4.87,7.98,11.18,15.12,9.4
-5.9,-81.3,2023-01,PER,other_purse_seines,4,16.59,22.56,33.77,118.55,9.7
-7.7,-79.9,2023-01,PER,other_purse_seines,2,2.38,2.34,2.08,4.76,7.0
-14.2,-77.0,2023-02,,pole_and_line,1,0.8,6.53,12.58,5.68,8.0
-11.9,-77.2,2023-03,PER,other_purse_seines,1,0.77,6.32,12.74,11.96,6.5
-12.5,-77.1,2023-01,PER,inconclusive,1,0.65,0.0,1.34,17.98,8.1
-16.9,-76.7,2023-03,,purse_seines,1,2.48,6.31,8.02,10.04,6.9
-14.4,-77.7,2023-02,PER,pole_and_line,1,0.97,5.68,9.58,11.82,8.1
-17.3,-71.9,2023-01,,other_purse_seines,2,5.74,12.42,13.36,29.13,7.7
-10.2,-78.3,2023-01,PER,other_purse_seines,30,27.3905,31.07,36.52,154.66,9.5
-13.2,-77.7,2023-02,PER,other_purse_seines,1,1.03,0.15,2.76,14.97,7.8
-3.5,-81.7,2023-02,PER,other_purse_seines,1,1.33,1.89,7.17,14.94,7.4
-16.8,-78.4,2023-03,PER,tuna_purse_seines,1,4.34,10.83,4.03,34.39,6.8
-9.2,-78.7,2023-03,PER,other_purse_seines,1,1.79,2.77,8.62,12.8,8.4
-11.1,-77.8,2023-01,HND,other_purse_seines,1,4.8,6.41,10.15,25.83,7.1
-14.4,-77.0,2023-01,PER,set_gillnets,1,3.16,11.77,6.04,29.08,8.7
-7.3,-79.9,2023-01,PER,other_purse_seines,33,27.3905,31.18,29.75,110.53,9.3
-10.8,-78.2,2023-02,PER,tuna_purse_seines,1,2.34,3.2,6.5,22.44,7.1
-5.9,-81.5,2023-02,PER,other_purse_seines,1,0.48,4.19,4.23,4.35,7.6
-15.5,-76.8,2023-03,,pole_and_line,1,8.42,14.01,15.67,51.52,8.5
-12.8,-76.7,2023-01,PER,inconclusive,1,0.45,8.39,11.09,6.25,8.7
-14.0,-77.2,2023-01,PER,fishing,1,1.21,2.03,4.04,7.05,8.4
-12.6,-76.9,2023-02,,other_purse_seines,1,4.75,3.34,3.73,37.56,7.5
-14.7,-77.0,2023-03,PER,other_purse_seines,11,27.3905,33.67,40.16,567.95,8.7
-9.1,-78.6,2023-03,PER,fishing,1,0.49,6.96,8.49,7.22,8.5
-14.2,-76.6,2023-03,PER,pole_and_line,1,1.38,0.0,7.45,12.0,7.6
-14.8,-76.1,2023-03,PER,other_purse_seines,1,0.25,2.45,2.56,2.65,6.9
-12.9,-76.6,2023-03,PER,other_purse_seines,1,3.62,9.13,7.3,20.55,9.6
-6.9,-80.2,2023-01,PER,purse_seines,3,3.6,8.83,10.37,10.52,8.4
-11.9,-77.2,2023-03,PER,pole_and_line,1,2.67,7.25,7.8,11.91,7.6
-15.4,-77.0,2023-03,PER,other_purse_seines,6,6.62,10.32,11.07,49.83,7.8
-9.0,-82.4,2023-03,PAN,tuna_purse_seines,1,3.32,4.65,0.0,36.56,7.1
-15.8,-78.7,2023-02,ECU,tuna_purse_seines,1,1.56,2.23,7.77,5.99,7.1
-12.8,-77.6,2023-02,PER,set_longlines,1,1.93,10.46,16.99,29.4,
-8.1,-79.2,2023-01,,other_purse_seines,2,2.07,2.08,7.41,18.17,7.5
-12.0,-77.8,2023-03,PER,other_purse_seines,1,1.5,10.26,10.01,27.13,6.9
-15.8,-74.7,2023-03,PER,other_purse_seines,1,1.75,0.99,3.4,16.49,6.9
-12.4,-77.1,2023-01,PER,pole_and_line,2,5.42,20.86,18.41,102.66,7.2
