policy_id,site_id,policy_strength,policy_type,grant_amount,inspection_count,compliance_score,estimated_reduction_pct,policy_adopted,start_date
P0001,S0459,Partial,Industrial Retrofit,25057.54,9,150.0,13.8,True,2021-12-25
P0002,S0796,Pilot,Emissions Cap,61830.08,1,60.7,11.1,True,2022-12-16
P0003,S0593,Pilot,Emissions Cap,80161.89,3,58.9,4.2,True,2024-04-12
P0004,S0498,Partial,Industrial Retrofit,24889.86,4,79.7,5.2,True,2022-09-14
P0005,S0087,None,EV Incentive,11691.09,8,70.8,20.1,True,2024-01-29
P0006,S0402,Pilot,Emissions Cap,,6,64.5,29.3,True,2023-08-02
P0007,S0197,Partial,Congestion Pricing,42749.88,4,64.3,14.4,True,2023-08-14
P0008,S0764,Full,Congestion Pricing,41146.51,5,62.9,3.9,True,2022-06-08
P0009,S1107,Full,Emissions Cap,18686.93,8,63.8,21.4,True,2022-04-09
P0010,S0027,Pilot,EV Incentive,13299.25,3,65.0,7.4,True,2021-08-19
P0011,S0135,Partial,Congestion Pricing,48794.11,1,61.4,12.5,True,2024-03-02
P0012,S1114,None,Congestion Pricing,12877.11,4,71.7,9.9,False,2024-02-26
P0013,S0206,Pilot,Industrial Retrofit,20607.55,6,74.0,11.1,True,2023-06-16
P0014,S1051,Partial,EV Incentive,,3,58.2,7.4,True,2021-12-22
P0015,S0603,None,Emissions Cap,8098.68,0,75.8,17.8,False,2021-10-22
P0016,S1092,Pilot,Industrial Retrofit,47667.68,7,49.7,8.9,True,2024-04-01
P0017,S0362,Full,Industrial Retrofit,112214.65,4,71.0,13.7,False,2021-03-21
P0018,S0658,Full,Industrial Retrofit,28805.84,9,71.6,13.5,False,2023-10-10
P0019,S1087,Partial,EV Incentive,26349.6,1,64.0,9.3,True,2022-03-03
P0020,S0972,Full,EV Incentive,27628.28,2,65.7,1.0,False,2022-05-18
P0021,S0980,Partial,EV Incentive,30788.9,9,150.0,5.0,True,2023-09-26
P0022,S0941,None,Emissions Cap,17361.6,9,58.9,14.3,True,2021-04-19
P0023,S0908,Partial,EV Incentive,13703.42,4,65.0,11.8,True,2022-03-02
P0024,S0246,Pilot,Industrial Retrofit,21766.66,3,58.4,5.1,True,2024-02-17
P0025,S0278,Pilot,Congestion Pricing,29500.46,8,78.7,10.3,True,2023-04-19
P0026,S0347,Full,Emissions Cap,14778.87,8,39.8,11.3,True,2023-06-25
P0027,S0372,Pilot,Emissions Cap,11992.48,7,63.4,13.5,False,2023-06-29
P0028,S0809,None,Emissions Cap,20655.73,1,42.2,20.9,True,2021-03-14
P0029,S0849,Pilot,Industrial Retrofit,12087.81,4,150.0,-3.7,True,2021-09-01
P0030,S0123,Pilot,EV Incentive,40258.57,7,58.1,17.3,True,2022-08-13
P0031,S1081,Full,Industrial Retrofit,3412.0,7,81.1,11.3,True,2022-03-18
P0032,S0160,Partial,Congestion Pricing,13347.97,6,150.0,3.8,True,2022-05-09
P0033,S1151,Partial,EV Incentive,62825.6,3,65.9,11.0,False,2023-07-27
P0034,S0737,Partial,Congestion Pricing,23552.07,2,150.0,18.7,True,2021-01-18
P0035,S0518,Partial,Emissions Cap,30042.18,7,77.4,20.5,True,2023-03-04
P0036,S0935,Partial,Emissions Cap,24900.62,7,78.6,3.9,True,2021-01-01
P0037,S0746,Partial,Industrial Retrofit,18464.57,9,58.1,4.9,True,2021-03-17
P0038,S0288,Full,EV Incentive,51902.17,4,73.1,2.2,True,2022-05-05
P0039,S0420,Full,Emissions Cap,19089.3,2,53.5,11.4,True,2023-10-07
P0040,S0140,Full,Industrial Retrofit,16365.18,4,60.3,11.7,True,2021-06-23
P0041,S0707,FULL,Congestion Pricing,39897.03,3,72.1,15.9,True,2022-10-28
P0042,S0698,Full,Industrial Retrofit,8447.36,7,57.1,12.6,False,2023-03-26
P0043,S0987,Pilot,EV Incentive,22668.82,1,60.7,15.4,False,2021-10-03
P0044,S0475,Full,EV Incentive,19704.96,7,45.1,1.7,True,2022-09-07
P0045,S0389,FULL,EV Incentive,22415.48,9,70.4,20.5,False,2023-12-30
P0046,S0511,Full,Emissions Cap,20069.77,5,54.4,17.8,False,2022-09-07
P0047,S0538,Full,Industrial Retrofit,33693.24,3,55.1,6.8,True,2021-07-08
P0048,S0213,Pilot,Congestion Pricing,52042.28,2,81.3,5.3,True,2023-01-24
P0049,S0897,None,EV Incentive,35440.2,9,56.8,14.5,True,2022-12-12
P0050,S1062,Pilot,Industrial Retrofit,21979.2,4,74.0,0.6,True,2021-02-02
P0051,S0233,Partial,Emissions Cap,39295.29,5,78.2,5.6,True,2021-04-19
P0052,S0260,Pilot,Congestion Pricing,42156.95,0,76.0,3.8,True,2021-07-08
P0053,S0308,Pilot,Congestion Pricing,,0,62.0,9.4,True,2021-06-13
P0054,S0403,Partial,Congestion Pricing,50472.8,9,59.9,7.3,True,2021-11-08
P0055,S0997,FULL,Emissions Cap,6578.5,2,54.0,5.3,True,2022-06-29
P0056,S0750,Full,EV Incentive,27338.7,1,43.9,4.7,True,2022-03-23
P0057,S1130,Partial,Emissions Cap,32361.09,0,74.3,6.2,True,2023-12-05
P0058,S0304,Partial,Congestion Pricing,11061.86,7,150.0,2.9,True,2023-01-05
P0058,S0343,Partial,Industrial Retrofit,30713.66,0,70.7,13.3,True,2023-11-18
P0060,S1062,Full,Congestion Pricing,46582.04,9,30.9,16.8,False,2022-09-25
P0061,S0855,Pilot,Industrial Retrofit,23521.62,7,62.9,12.4,True,2021-04-18
P0062,S1070,Pilot,Emissions Cap,39891.7,4,72.6,18.3,True,2022-07-10
P0063,S0256,Full,Emissions Cap,49694.62,3,80.4,5.0,True,2023-09-14
P0064,S0137,Partial,Emissions Cap,60203.05,7,68.6,5.5,True,2021-08-21
P0065,S0818,Partial,Industrial Retrofit,54029.87,7,67.3,12.7,True,2021-04-20
P0066,S0973,Pilot,Emissions Cap,61044.85,7,56.9,13.4,True,2022-01-31
P0067,S0038,Pilot,EV Incentive,19935.78,2,69.5,10.1,True,2022-04-12
P0068,S1179,Partial,Congestion Pricing,21288.46,7,62.2,9.9,True,2022-01-03
P0069,S0105,None,EV Incentive,6099.32,0,56.2,3.6,True,2021-06-12
