fuel_type,station_name,street_address,city,state,zip,phone_number,status_code,expected_date,station_group,ev_lvl_1,ev_lvl_2,ev_dc_fast_count,ev_other,ev_network_type,latitude,longitude,last_confirmed,id,updated_at,access_code,restricted,ev_workplace
ELEC,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,206-787-5388,E,,Public,,68,,,Non-Networked,47.443377,-122.296229,6/6/2025,33717,2025-06-06 18:42:11 UTC,public,FALSE,FALSE
ELEC,Avista Corp,1411 E Mission Ave,Spokane,WA,99252,509-489-0500,E,,Public,1,2,,,Non-Networked,47.673347,-117.388933,6/12/2023,35620,2025-11-04 20:46:59 UTC,public,FALSE,FALSE
ELEC,Steam Plant Parking,130 S Post St,Spokane,WA,99201,800-227-9187,E,,Public,,6,,,Non-Networked,47.65579218,-117.4236637,4/6/2023,35621,2025-11-04 20:46:40 UTC,public,FALSE,FALSE
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.614744,-122.193162,2/1/2026,37181,2026-02-01 01:28:06 UTC,public,FALSE,FALSE
ELEC,KING COUNTY DES ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.545324,-122.0195,2/1/2026,38082,2026-02-01 02:01:15 UTC,public,FALSE,FALSE
ELEC,King County - King County Van Distribution Center,18655 NE Union Hill Rd,Redmond,WA,98052,,E,,Private,,3,,,Non-Networked,47.675897,-122.091237,7/3/2025,38083,2025-07-03 19:15:09 UTC,private,,FALSE
ELEC,UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,Bothell,WA,98011,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.761878,-122.191915,2/1/2026,38952,2026-02-01 01:22:21 UTC,public,FALSE,FALSE
ELEC,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.679224,-122.12995,2/1/2026,38959,2026-02-01 01:13:08 UTC,public,FALSE,FALSE
ELEC,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.672359,-122.099034,2/1/2026,38966,2026-02-01 01:13:08 UTC,public,FALSE,FALSE
ELEC,WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.734211,-122.147041,2/1/2026,38976,2026-02-01 01:34:56 UTC,public,FALSE,FALSE
ELEC,Rairdon's Nissan - Auburn,713 35th St NE,Auburn,WA,98002,253-833-4700,E,,Private,,3,1,,Non-Networked,47.33876,-122.22087,1/13/2026,39776,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,Burien Nissan,16042 1st Ave S,Burien,WA,98148,206-242-7070,E,,Public - Call ahead,,2,1,,Non-Networked,47.458152,-122.333513,1/13/2026,39780,2026-01-13 01:16:14 UTC,public,FALSE,FALSE
ELEC,Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,360-352-8558,E,,Public - Call ahead,,1,1,,Non-Networked,47.030919,-122.930155,1/13/2026,39786,2026-01-13 01:16:14 UTC,public,FALSE,FALSE
ELEC,Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,253-473-6200,E,,Public - Call ahead,,1,1,,Non-Networked,47.21973,-122.485672,1/13/2026,39797,2026-01-13 01:16:14 UTC,public,FALSE,FALSE
ELEC,O'Brien Nissan,1395 Dalles Military Rd,Walla Walla,WA,99362,509-529-7000,E,,Private,,1,,,Non-Networked,46.047279,-118.353882,1/13/2026,39799,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,Bellevue,WA,98004,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.616104,-122.19696,2/1/2026,40383,2026-02-01 01:50:46 UTC,public,FALSE,FALSE
ELEC,KRC SKYLINE SKYLINE #1,10900 NE 4th St,Bellevue,WA,98004,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.61434,-122.194037,2/1/2026,40384,2026-02-01 01:40:37 UTC,public,FALSE,FALSE
ELEC,Caplan's Rainbow Parking,214 Columbia St,Seattle,WA,98104,206-682-2991,E,,Public,,2,,,Non-Networked,47.604115,-122.332907,6/13/2024,41579,2025-02-12 00:16:32 UTC,public,FALSE,FALSE
ELEC,CITY OF SEATAC CITY HALL 1,4800 S 188th St,SeaTac,WA,98188,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.434029,-122.273288,2/1/2026,41776,2026-02-01 01:22:12 UTC,public,FALSE,FALSE
ELEC,Puget Sound Energy,3130 S 38th St,Tacoma,WA,98409,,E,,Private,,1,,,Non-Networked,47.22213,-122.478493,10/11/2024,41779,2025-10-10 13:29:22 UTC,private,,FALSE
ELEC,City of Tacoma - Municipal Building,747 Market St,Tacoma,WA,98402,,E,,Private,,2,,,Non-Networked,47.255854,-122.44172,8/10/2023,42044,2025-10-14 15:52:47 UTC,private,,FALSE
ELEC,BELLEVUE SBCC #2,14509 SE Newport Way,Bellevue,WA,98006,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.568886,-122.145268,2/1/2026,42228,2026-02-01 01:52:46 UTC,public,FALSE,FALSE
ELEC,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,Renton,WA,98055,888-758-4389,E,,Public,,2,,,ChargePoint Network,47.443255,-122.212445,2/1/2026,43303,2026-02-01 01:02:26 UTC,public,FALSE,FALSE
ELEC,City of Renton - City Shops,3555 NE 2nd St,Renton,WA,98056,,E,,Private,,2,,,Non-Networked,47.483635,-122.170748,9/12/2025,43795,2025-09-12 21:22:13 UTC,private,,FALSE
ELEC,TAC PW PARKING GLASS MSM CP 01,1801 Dock St,Tacoma,WA,98402,888-758-4389,T,12/4/2025,TEMPORARILY UNAVAILABLE (Public),,2,,,ChargePoint Network,47.245934,-122.43398,2/1/2026,43806,2026-02-01 01:26:04 UTC,public,FALSE,FALSE
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,Everett,WA,98204,,E,,Private,,1,,,Non-Networked,47.90272982,-122.2469884,2/12/2024,44137,2025-02-12 00:16:32 UTC,private,,FALSE
ELEC,Karmart Nissan,655 Auto Blvd,Burlington,WA,98233,360-757-2277,E,,Public,,,1,,IN_CHARGE,48.45009,-122.34423,1/13/2026,44143,2026-01-13 01:16:14 UTC,public,TRUE,FALSE
ELEC,Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,509-545-3000,E,,Private,,1,,,Non-Networked,46.236757,-119.129685,1/13/2026,44148,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,Bill Korum's Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,253-848-4507,E,,Private,,1,,,Non-Networked,47.207791,-122.294492,1/13/2026,44150,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,Younker Nissan,3401 E Valley Rd,Renton,WA,98058,,E,,Private,,1,,,Non-Networked,47.448416,-122.218892,1/13/2026,44151,2026-01-13 01:16:14 UTC,private,,FALSE
ELEC,City of Seattle - Central Library,1000 4th Ave,Seattle,WA,98104,206-386-4636,E,,Public,,3,,,Non-Networked,47.606684,-122.332664,11/6/2024,44153,2025-10-29 13:53:23 UTC,public,FALSE,FALSE
